Competitor,Channel,Estimated_Q1_Spend,QoQ_Change,SOV_Category,Notable_Activity
GlowLab Nutrition,Meta,185000.00,+15%,12.4%,"Launched new protein line in Feb; heavy video creative push"
GlowLab Nutrition,Google Search,92000.00,+8%,14.2%,"Bidding aggressively on non-brand supplement terms"
GlowLab Nutrition,TikTok,64000.00,+45%,8.1%,"Creator partnerships with 3 fitness influencers"
PureNutra,Meta,142000.00,-5%,9.5%,"Pulled back from prospecting; shifted to retargeting"
PureNutra,Google Search,118000.00,+12%,18.2%,"Increased Shopping and PMAX investment"
PureNutra,TikTok,28000.00,NEW,3.5%,"Testing TikTok for first time in Q1"
FuelBody Co,Meta,78000.00,+22%,5.2%,"New market entrant - DTC focused on recovery supplements"
FuelBody Co,TikTok,95000.00,+35%,12.0%,"Aggressive TikTok-first strategy; viral unboxing content"
VitalFit (us),Meta,142000.00,+18%,9.5%,
VitalFit (us),Google Search,98000.00,+10%,15.1%,
VitalFit (us),TikTok,78000.00,NEW,9.9%,
